vmID,Read_Iops,Write_Iops,Read_Latency,Write_Latency,Memory,CPU_Cores,Location,B&R_Location,Cloud_%,OnPrem_%,Reliability_%,Cost_$,Policy_Num
VM-5,1,32,280,244,3072,1,Michigan,Georgia,23,77,70,19824,1
VM-6,17,19,271,221,1024,8,Mississippi,Florida,28,72,65,10603,1
VM-8,13,10,287,247,3072,10,Arizona,Nebraska,70,30,58,11600,1
VM-1,34,47,200,248,1024,9,Washington,Vermont,53,47,65,19353,1
VM-7,45,32,277,282,3072,13,Ohio,Connecticut,47,53,61,11991,1
VM-9,44,50,288,285,2048,13,Idaho,Kentucky,45,55,63,12910,1
VM-8,49,29,212,264,2048,5,Nevada,West Virginia,33,67,66,18641,1
VM-10,50,27,262,223,1024,9,Vermont,Rhode Island,32,68,58,10806,1
VM-1,31,13,225,275,2048,3,Delaware,South Dakota,30,70,57,12515,1
VM-3,19,10,265,254,3072,4,New Jersey,New Mexico,30,70,61,19828,1
VM-9,17,42,204,238,3072,5,New Mexico,Washington,34,66,64,12050,1
VM-1,39,30,298,249,1024,4,Washington,California,31,69,59,12817,1
VM-4,29,26,297,225,1024,3,Virginia,Minnesota,84,16,53,16436,1
VM-8,1,14,284,300,1024,7,Colorado,Mississippi,22,78,50,18047,1
VM-4,47,36,274,249,2048,13,Nevada,Arizona,36,64,58,17681,1
VM-2,1,5,296,235,3072,3,New Jersey,Colorado,59,41,70,13566,1
VM-10,26,36,287,265,1024,6,Louisiana,New Hampshire,14,86,66,17319,1
VM-5,19,15,225,278,2048,10,West Virginia,Minnesota,89,11,65,15894,1
VM-9,5,3,228,205,1024,13,New York,New Hampshire,97,3,60,17865,1
VM-3,32,33,287,256,1024,2,Nevada,Nebraska,69,31,63,16007,1
VM-3,14,8,268,297,1024,10,Maryland,Colorado,19,81,57,13347,1
VM-5,20,39,253,299,2048,12,Indiana,New Jersey,31,69,66,13088,1
VM-4,49,12,220,279,3072,6,Missouri,Massachusetts,71,29,62,16959,1
VM-6,31,50,210,227,2048,2,South Carolina,Louisiana,68,32,64,12697,1
VM-10,34,37,294,237,1024,7,Maine,West Virginia,17,83,55,11969,1
VM-9,14,8,250,254,3072,10,Alaska,Idaho,63,37,65,12720,1
VM-9,34,47,292,300,1024,2,Oklahoma,New Hampshire,51,49,51,13760,1
VM-6,42,12,294,265,3072,13,Vermont,Vermont,55,45,62,11959,1
VM-10,8,29,259,289,3072,1,New York,California,64,36,50,11175,1
VM-10,17,19,247,265,3072,1,Montana,New Mexico,28,72,63,16214,1
VM-9,31,3,228,286,2048,8,Idaho,New Jersey,69,31,56,19367,1
VM-8,47,42,289,254,2048,7,New Mexico,New Hampshire,93,7,58,10883,1
VM-1,28,21,264,267,2048,13,Oregon,South Dakota,69,31,50,13603,1
VM-9,11,3,252,300,3072,15,South Carolina,South Carolina,83,17,50,18774,1
VM-3,15,36,254,265,1024,2,California,Missouri,7,93,70,10781,1
VM-4,30,20,288,250,2048,13,Missouri,Louisiana,16,84,65,17775,1
VM-4,14,44,205,279,1024,11,West Virginia,Hawaii,86,14,53,15049,1
VM-6,3,32,300,287,2048,15,Florida,Pennsylvania,35,65,68,13731,1
VM-10,39,23,233,240,3072,6,Nebraska,Vermont,8,92,55,12549,1
VM-6,6,40,273,207,3072,11,New York,Hawaii,45,55,50,11390,1
VM-1,21,22,249,257,3072,8,North Carolina,Texas,91,9,51,14428,1
VM-2,8,46,234,207,2048,8,Georgia,West Virginia,12,88,53,17404,1
VM-3,12,38,273,248,1024,8,Virginia,New York,65,35,52,11556,1
VM-6,35,21,274,236,2048,3,Wyoming,Illinois,55,45,63,15611,1
VM-9,19,49,280,247,1024,15,Maryland,Arkansas,4,96,58,11258,1
VM-10,23,2,289,267,3072,9,Montana,Mississippi,34,66,66,16729,1
VM-4,6,2,272,282,2048,8,Nebraska,New York,19,81,67,17644,1
VM-2,19,15,298,234,1024,7,Texas,Oklahoma,96,4,67,12813,1
VM-3,23,28,221,262,2048,11,Vermont,Iowa,46,54,59,17390,1
VM-5,31,19,294,226,1024,14,Oklahoma,Maine,20,80,63,17905,1
VM-2,36,23,238,289,1024,11,Mississippi,Pennsylvania,14,86,68,10044,1
VM-2,24,2,211,235,2048,3,Massachusetts,Oklahoma,54,46,53,17280,1
VM-8,50,35,273,230,2048,14,Texas,Arkansas,16,84,62,17952,1
VM-9,38,44,246,270,1024,3,South Carolina,West Virginia,62,38,53,12300,1
VM-2,1,21,239,277,3072,5,Florida,Maine,97,3,63,10231,1
VM-8,21,42,285,299,1024,4,Nebraska,Minnesota,25,75,60,18554,1
VM-4,33,37,260,264,1024,6,Texas,Michigan,40,60,60,16777,1
VM-4,26,42,271,224,1024,6,Maryland,Virginia,90,10,50,14244,1
VM-10,46,33,288,211,2048,8,Montana,Wyoming,86,14,52,10716,1
VM-9,46,39,221,254,1024,15,Arkansas,Delaware,2,98,61,11143,1
VM-9,10,10,258,279,2048,6,Virginia,Pennsylvania,39,61,67,12295,1
VM-1,33,38,211,212,1024,1,Montana,New Jersey,45,55,53,19447,1
VM-7,2,45,251,231,2048,3,New Hampshire,North Dakota,19,81,56,13509,1
VM-7,23,50,269,257,1024,4,South Dakota,North Carolina,90,10,51,10022,1
VM-4,2,18,282,244,1024,12,North Carolina,Louisiana,40,60,60,16857,1
VM-1,45,46,281,249,2048,9,Washington,Maine,1,99,50,14550,1
VM-10,16,17,261,296,1024,8,Florida,Iowa,26,74,56,10543,1
VM-10,50,29,218,272,3072,6,South Carolina,New Jersey,87,13,57,12121,1
VM-10,34,3,232,245,3072,4,Rhode Island,Montana,25,75,66,17359,1
VM-9,24,40,224,236,3072,4,Kansas,Indiana,27,73,59,14907,1
VM-1,23,29,245,294,3072,12,Hawaii,Nebraska,60,40,52,11111,1
VM-10,40,31,221,262,2048,11,New Hampshire,Colorado,30,70,51,10021,1
VM-6,34,4,254,234,1024,10,California,Tennessee,69,31,60,19653,1
VM-9,32,40,280,294,2048,3,New York,North Carolina,44,56,59,17822,1
VM-5,36,34,291,224,2048,7,Iowa,Hawaii,68,32,53,17745,1
VM-1,3,20,299,253,3072,1,Arizona,South Dakota,49,51,52,18036,1
VM-1,34,37,229,255,1024,7,New York,Louisiana,49,51,53,11401,1
VM-10,29,2,298,261,3072,5,Louisiana,New Mexico,39,61,57,17279,1
VM-5,48,24,274,244,1024,4,Wisconsin,Maryland,19,81,54,17569,1
VM-10,5,11,220,283,2048,4,Wisconsin,Arkansas,95,5,67,12886,1
VM-10,47,29,294,267,3072,8,Tennessee,Oklahoma,87,13,60,10258,1
VM-1,13,24,252,298,3072,11,Washington,Alaska,5,95,61,10531,1
VM-1,37,48,259,288,1024,2,Vermont,Hawaii,73,27,68,17442,1
VM-1,9,44,211,213,2048,11,Utah,Colorado,84,16,67,19221,1
VM-9,5,7,232,267,2048,12,Alaska,Montana,74,26,64,11490,1
VM-8,9,22,279,209,1024,2,Colorado,Kentucky,22,78,61,16858,1
VM-8,39,26,250,244,1024,3,Utah,Missouri,95,5,65,15908,1
VM-8,2,45,248,220,1024,7,Delaware,Florida,32,68,68,17226,1
VM-4,31,40,238,252,2048,2,West Virginia,Michigan,2,98,53,10700,1
VM-1,23,19,294,258,2048,1,California,Oregon,83,17,57,14060,1
VM-6,10,15,259,286,2048,15,North Dakota,Louisiana,70,30,62,16331,1
VM-3,12,44,271,236,3072,7,Washington,Wyoming,48,52,53,13702,1
VM-1,1,45,283,289,3072,12,Delaware,Indiana,93,7,52,16778,1
VM-6,34,41,257,210,3072,10,New Mexico,Delaware,88,12,69,19649,1
VM-9,10,3,241,205,1024,15,Wisconsin,Louisiana,45,55,54,14541,1
VM-5,5,8,233,249,3072,11,Iowa,Oklahoma,51,49,52,10609,1
VM-3,48,12,226,273,2048,15,Missouri,Massachusetts,25,75,66,10795,1
VM-2,2,28,217,259,1024,10,Connecticut,West Virginia,15,85,68,13395,1
VM-1,20,30,259,300,2048,3,Louisiana,Texas,14,86,61,13046,1
VM-2,19,4,235,243,1024,1,New Jersey,Montana,49,51,63,14098,1
VM-5,1,29,204,264,3072,12,Mississippi,South Dakota,9,91,55,11858,1
VM-2,14,12,283,264,3072,4,North Dakota,Oregon,61,39,66,19085,1
VM-1,18,44,251,220,2048,6,Rhode Island,Nevada,71,29,56,14054,1
VM-10,18,8,276,296,2048,6,New Mexico,North Dakota,49,51,53,16444,1
VM-7,42,31,214,285,1024,3,Mississippi,Georgia,5,95,50,17227,1
VM-5,36,2,212,241,1024,11,Michigan,North Dakota,65,35,53,14594,1
VM-8,43,45,206,255,3072,10,Mississippi,Minnesota,55,45,57,15983,1
VM-9,31,46,277,249,1024,6,Kansas,Illinois,96,4,60,12539,1
VM-7,35,30,273,243,2048,3,Indiana,Pennsylvania,52,48,70,17618,1
VM-10,38,4,268,246,1024,2,Oklahoma,Missouri,85,15,51,15195,1
VM-4,14,1,236,273,3072,6,Indiana,Texas,90,10,64,14911,1
VM-4,19,12,246,248,2048,8,Wisconsin,South Carolina,20,80,55,16932,1
VM-4,12,24,246,208,1024,14,New York,Kansas,52,48,50,15902,1
VM-7,21,20,235,278,3072,12,Vermont,Vermont,71,29,59,16466,1
VM-7,6,43,285,295,2048,5,Maine,Pennsylvania,94,6,57,13999,1
VM-8,38,39,249,254,3072,2,Oregon,Oregon,59,41,60,12154,1
VM-2,48,26,280,206,3072,6,Pennsylvania,Delaware,85,15,58,15780,1
VM-3,8,50,250,297,1024,4,New York,Utah,68,32,70,19257,1
VM-9,29,40,281,234,1024,7,North Carolina,Michigan,32,68,54,10635,1
VM-7,29,18,283,216,2048,5,Nebraska,Virginia,29,71,65,15483,1
VM-3,48,36,293,231,1024,8,New York,Delaware,16,84,57,18033,1
VM-8,10,40,202,266,1024,11,West Virginia,Arkansas,92,8,70,13521,1
VM-1,20,11,235,272,1024,12,Nevada,Pennsylvania,49,51,64,11566,1
VM-10,17,21,300,289,1024,2,New York,Florida,73,27,58,19352,1
VM-1,33,3,215,268,1024,11,Maryland,Oklahoma,95,5,61,12662,1
VM-10,7,21,224,241,3072,3,Mississippi,Louisiana,61,39,60,17943,1
VM-9,44,35,245,293,1024,9,Colorado,Minnesota,55,45,60,15302,1
VM-4,34,23,203,222,3072,2,New Jersey,Minnesota,91,9,70,18489,1
VM-10,47,40,224,232,2048,9,New Hampshire,Virginia,16,84,53,12808,1
VM-10,6,16,287,214,3072,14,Kentucky,Kentucky,56,44,65,13790,1
VM-5,16,44,282,212,3072,5,Maryland,Missouri,72,28,58,17081,1
VM-6,36,12,221,219,1024,5,Montana,Texas,31,69,58,13606,1
VM-10,36,50,265,269,3072,10,Vermont,Missouri,21,79,50,13651,1
VM-6,36,10,245,245,2048,3,New Mexico,Alabama,3,97,57,17142,1
VM-8,11,49,292,282,3072,11,Oregon,Wisconsin,40,60,56,15362,1
VM-8,45,22,231,274,2048,7,Ohio,North Dakota,83,17,54,15094,1
VM-3,38,11,211,294,3072,11,Wyoming,Missouri,89,11,61,19857,1
VM-10,22,26,218,238,3072,1,Nevada,Wyoming,78,22,65,17976,1
VM-8,9,13,207,239,2048,5,Michigan,South Dakota,50,50,60,13936,1
VM-1,29,14,271,209,1024,8,West Virginia,Mississippi,70,30,63,14873,1
VM-5,40,6,214,272,3072,5,North Carolina,Rhode Island,65,35,60,19461,1
VM-9,50,38,242,263,3072,10,Georgia,New Mexico,3,97,56,11583,1
VM-10,27,16,234,232,3072,7,Ohio,Kentucky,98,2,57,19076,1
VM-4,27,24,210,294,1024,3,Rhode Island,Vermont,79,21,51,16014,1
VM-9,4,2,267,287,3072,14,Rhode Island,California,65,35,52,16272,1
VM-4,33,9,228,272,3072,14,West Virginia,Ohio,38,62,69,16859,1
VM-9,16,39,245,295,3072,9,Florida,Tennessee,82,18,62,17241,1
VM-7,28,18,293,290,1024,7,Colorado,Virginia,89,11,61,12751,1
VM-8,20,41,282,251,2048,12,California,Utah,56,44,61,14043,1
VM-1,20,20,246,200,3072,10,Virginia,Alaska,22,78,69,10077,1
VM-7,27,1,263,271,3072,15,Indiana,North Dakota,93,7,59,10342,1
VM-3,13,30,261,233,1024,6,Nevada,Nebraska,70,30,70,13251,1
VM-6,7,48,270,239,2048,13,Maine,Alaska,74,26,65,17619,1
VM-7,48,50,298,239,3072,13,Kansas,Oregon,18,82,61,10432,1
VM-4,29,2,208,226,1024,12,Florida,Mississippi,43,57,56,14388,1
VM-9,19,19,240,267,3072,8,South Carolina,South Dakota,81,19,51,10033,1
VM-8,35,34,287,249,1024,13,Minnesota,Maryland,99,1,51,11594,1
VM-2,31,17,270,202,1024,12,Utah,Nevada,43,57,63,10862,1
VM-1,14,8,273,219,1024,15,Virginia,Hawaii,63,37,68,10241,1
VM-1,4,10,237,291,1024,2,Tennessee,California,29,71,53,18706,1
VM-7,11,12,203,213,3072,10,Oklahoma,Hawaii,37,63,59,15542,1
VM-6,42,35,231,253,3072,4,Illinois,Arkansas,31,69,52,18289,1
VM-9,20,46,213,264,1024,15,Illinois,Iowa,14,86,53,13591,1
VM-8,37,8,204,204,3072,14,New Hampshire,New Hampshire,14,86,50,18307,1
VM-7,42,46,256,289,2048,2,South Dakota,Idaho,82,18,65,10985,1
VM-2,1,26,236,265,1024,11,Connecticut,West Virginia,80,20,63,13193,1
VM-5,19,21,265,259,1024,12,North Dakota,Texas,51,49,55,17924,1
VM-4,42,30,241,254,2048,2,Minnesota,Connecticut,53,47,52,12309,1
VM-3,25,1,251,208,3072,9,Colorado,New Jersey,7,93,68,13846,1
VM-4,28,10,211,276,2048,7,Florida,Montana,66,34,68,13654,1
VM-10,24,41,299,266,3072,6,Washington,Arkansas,5,95,53,15732,1
VM-7,19,45,200,294,3072,11,Arkansas,New Hampshire,12,88,69,18252,1
VM-9,28,32,283,225,2048,4,California,New Hampshire,22,78,58,18912,1
VM-8,6,21,202,268,2048,7,Alaska,Rhode Island,99,1,54,11372,1
VM-9,38,35,299,291,2048,13,Nevada,Hawaii,69,31,63,17168,1
VM-6,9,50,230,223,1024,1,West Virginia,South Carolina,31,69,58,19016,1
VM-4,12,16,283,200,2048,9,Mississippi,Idaho,25,75,68,12078,1
VM-2,43,37,205,231,1024,3,Texas,North Dakota,66,34,68,15623,1
VM-10,50,22,225,263,3072,3,Louisiana,Arkansas,23,77,68,10930,1
VM-7,49,3,272,274,3072,5,California,Maine,70,30,55,15462,1
VM-1,33,41,273,253,1024,9,Arizona,Florida,81,19,68,18349,1
VM-3,34,18,231,225,3072,14,Nebraska,Nebraska,67,33,54,11975,1
VM-10,14,41,287,283,1024,2,South Dakota,Alaska,13,87,54,18783,1
VM-5,43,37,288,254,2048,5,Mississippi,Iowa,99,1,56,18296,1
VM-2,29,50,269,207,2048,4,Indiana,Iowa,7,93,68,19374,1
VM-8,25,34,246,282,1024,14,Kansas,Hawaii,88,12,57,19870,1
VM-6,50,3,236,246,1024,7,Delaware,Montana,59,41,57,13205,1
VM-2,12,10,240,285,3072,11,Mississippi,West Virginia,35,65,58,11088,1
VM-10,30,44,269,237,1024,5,Nevada,New Mexico,65,35,64,19245,1
VM-10,45,23,257,220,3072,4,Vermont,Pennsylvania,50,50,53,11479,1
VM-4,2,30,259,211,3072,15,Oklahoma,Texas,11,89,63,16508,1
VM-6,10,3,237,290,3072,8,Michigan,Michigan,8,92,55,11121,1
VM-9,33,49,265,300,3072,4,Virginia,Texas,50,50,66,16242,1
VM-3,50,22,289,287,1024,5,New Jersey,Alaska,97,3,52,14791,1
VM-9,15,15,298,209,2048,8,Connecticut,Virginia,14,86,57,10972,1
VM-6,4,38,222,243,2048,13,Florida,Delaware,53,47,55,14195,1
VM-7,8,39,298,249,3072,7,New Hampshire,Wyoming,53,47,58,11820,1
VM-10,45,20,200,206,3072,12,Maine,Texas,56,44,51,15021,1
VM-9,30,46,254,262,3072,7,Wyoming,Kentucky,41,59,50,18322,1
VM-3,36,44,214,233,2048,9,South Carolina,Maine,52,48,65,12796,1
VM-4,49,39,206,265,1024,10,New Mexico,New Jersey,19,81,52,12463,1
VM-3,10,2,263,291,1024,15,Arkansas,Arkansas,82,18,62,13732,1
VM-10,40,25,276,280,1024,1,Kansas,Utah,5,95,68,18107,1
VM-1,38,23,208,260,1024,11,South Dakota,Tennessee,26,74,61,13046,1
VM-2,48,48,205,294,1024,2,Tennessee,Maryland,32,68,69,16096,1
VM-7,40,1,223,239,2048,5,Texas,Rhode Island,76,24,58,11818,1
VM-3,41,36,239,245,2048,3,Utah,Hawaii,23,77,60,16019,1
VM-3,48,10,284,294,2048,10,Florida,New Hampshire,15,85,57,12334,1
VM-9,45,19,213,293,3072,10,Pennsylvania,Iowa,36,64,67,16247,1
VM-1,45,19,265,202,3072,4,Florida,Idaho,45,55,50,19716,1
VM-9,7,31,263,272,2048,2,Georgia,Virginia,29,71,63,14819,1
VM-10,34,36,239,296,1024,12,Alaska,New Jersey,35,65,68,14936,1
VM-1,11,6,209,291,3072,12,Michigan,Illinois,83,17,53,17489,1
VM-5,2,38,200,256,2048,10,Pennsylvania,New York,74,26,55,12466,1
VM-1,31,27,246,230,1024,3,Connecticut,Tennessee,67,33,65,11987,1
VM-10,35,13,229,235,1024,12,Nebraska,Washington,98,2,67,10793,1
VM-5,36,27,229,213,1024,1,North Carolina,Michigan,3,97,61,15671,1
VM-5,38,48,285,265,2048,12,Montana,Indiana,7,93,53,16444,1
VM-3,42,14,273,214,2048,14,Arkansas,Massachusetts,62,38,68,11766,1
VM-3,10,18,200,272,3072,13,New Hampshire,South Carolina,62,38,66,10111,1
VM-1,26,30,286,253,2048,5,Maryland,Florida,35,65,64,11076,1
VM-3,29,10,249,206,3072,2,Tennessee,Michigan,84,16,61,14283,1
VM-6,13,43,218,252,2048,9,Maryland,Illinois,31,69,65,18030,1
VM-9,36,41,245,264,1024,4,Michigan,Florida,8,92,52,12209,1
VM-1,40,25,226,235,2048,9,Vermont,Arkansas,73,27,51,16127,1
VM-8,30,32,242,262,2048,8,Oregon,Nebraska,31,69,66,16462,1
VM-10,11,11,206,293,3072,2,Alabama,Rhode Island,32,68,62,18395,1
VM-5,17,39,291,215,3072,14,Alaska,West Virginia,93,7,54,17784,1
VM-8,10,38,252,210,2048,8,Colorado,California,93,7,57,11729,1
VM-3,12,41,255,249,1024,4,Utah,Arkansas,72,28,56,12464,1
VM-2,27,36,247,244,3072,14,Montana,Oregon,6,94,70,17988,1
VM-1,43,13,231,204,3072,8,Ohio,Utah,27,73,66,17706,1
VM-3,23,4,300,275,3072,15,Arkansas,Nevada,20,80,68,18418,1
VM-9,25,46,291,265,2048,4,Washington,Florida,68,32,53,14396,1
VM-7,17,19,220,200,1024,5,Alabama,North Carolina,1,99,65,17699,1
VM-7,11,44,239,252,2048,3,North Carolina,Georgia,34,66,66,11685,1
VM-3,42,13,212,236,1024,8,New York,Mississippi,33,67,63,18073,1
VM-5,2,2,248,221,3072,5,Florida,Michigan,5,95,54,17290,1
VM-2,2,29,244,274,2048,14,Nevada,Ohio,66,34,62,16013,1
VM-4,1,49,284,212,3072,14,Michigan,New Jersey,52,48,55,13913,1
VM-1,48,7,257,218,3072,14,Tennessee,Delaware,99,1,68,11723,1
VM-3,48,49,253,268,2048,11,California,Illinois,21,79,58,12796,1
VM-9,46,21,273,230,3072,4,Missouri,Illinois,83,17,68,18119,1
VM-5,38,17,249,215,1024,14,Tennessee,Nevada,57,43,65,11907,1
VM-7,24,36,243,273,2048,1,Colorado,Rhode Island,40,60,70,10535,1
VM-8,34,5,234,221,3072,11,Minnesota,South Carolina,89,11,50,19686,1
VM-3,38,6,297,258,2048,1,Colorado,Massachusetts,13,87,59,15326,1
VM-10,36,15,229,253,1024,12,Alaska,Kentucky,8,92,56,12230,1
VM-4,45,45,247,259,3072,9,Maine,South Carolina,58,42,52,17119,1
VM-2,2,14,205,238,2048,5,West Virginia,Alabama,80,20,55,14536,1
VM-5,32,35,285,283,2048,7,New Jersey,Oregon,89,11,57,14517,1
VM-4,28,33,265,292,2048,12,Nebraska,New York,89,11,51,14369,1
VM-1,12,42,223,276,3072,9,Kansas,Alabama,72,28,64,16923,1
VM-3,13,5,218,272,2048,14,Oklahoma,Wyoming,97,3,62,13070,1
VM-8,25,49,287,210,1024,10,Oregon,Rhode Island,35,65,53,14670,1
VM-10,14,22,224,274,3072,15,Idaho,Georgia,79,21,65,15027,1
VM-3,50,16,226,271,3072,11,Illinois,Georgia,41,59,65,13099,1
VM-5,18,4,250,253,2048,9,Pennsylvania,Mississippi,98,2,65,17545,1
VM-8,15,30,230,219,1024,15,Oregon,California,58,42,51,17890,1
VM-7,4,22,234,205,1024,7,Delaware,Pennsylvania,90,10,68,14157,1
VM-10,42,38,201,277,1024,15,Missouri,Texas,50,50,59,15696,1
VM-1,5,42,296,231,1024,15,South Carolina,Texas,77,23,68,15609,1
VM-5,27,23,233,232,3072,13,Louisiana,Arizona,84,16,63,10003,1
VM-3,38,36,208,239,1024,10,South Carolina,Minnesota,82,18,63,11134,1
VM-8,48,31,230,244,1024,6,Tennessee,Connecticut,97,3,61,15661,1
